Price,Close,High,Low,Open,Volume
Ticker,PLD,PLD,PLD,PLD,PLD
Date,,,,,
2000-06-26,9.123540878295898,9.196920563644122,9.123540878295898,9.172460668528048,351500
2000-06-27,9.123540878295898,9.148000773411972,9.099080983179823,9.123540878295898,118500
2000-06-28,9.148006439208984,9.17246634947425,9.099086618678456,9.148006439208984,56100
2000-06-29,9.24584674835205,9.24584674835205,9.14800710022134,9.172467012254018,243600
2000-06-30,9.07612419128418,9.243855439172387,9.069911922843875,9.243855439172387,307100
2000-07-03,9.144463539123535,9.169312624827676,9.020218110602835,9.020218110602835,27800
2000-07-05,9.268701553344727,9.293550619171388,9.14445622421142,9.243852487518065,196900
2000-07-06,9.467499732971191,9.492348813635157,9.26870708765946,9.293556168323427,241300
2000-07-07,9.517191886901855,9.517191886901855,9.442644691965288,9.467493756944144,332200
2000-07-10,9.542041778564453,9.542041778564453,9.492343644301098,9.517192711432775,59600
2000-07-11,9.517191886901855,9.542040951880711,9.442644691965288,9.542040951880711,183800
2000-07-12,9.467499732971191,9.54204697496309,9.442650652307226,9.54204697496309,342300
2000-07-13,9.492344856262207,9.517193926566557,9.467495785957855,9.517193926566557,108400
2000-07-14,9.41779899597168,9.492346217575678,9.343251774367682,9.467497143707678,110100
2000-07-17,9.442648887634277,9.442648887634277,9.343252583553918,9.392950735594097,80600
2000-07-18,9.442648887634277,9.467497963654369,9.392950735594097,9.467497963654369,55800
2000-07-19,9.343255043029785,9.442651373274781,9.343255043029785,9.442651373274781,99700
2000-07-20,9.343255043029785,9.368104125591033,9.318405960468535,9.343255043029785,152900
2000-07-21,9.368102073669434,9.39295115078792,9.144460379603055,9.343252996550946,654200
2000-07-24,9.442648887634277,9.442648887634277,9.392950735594097,9.417799811614188,191100
2000-07-25,9.41779899597168,9.442648069839679,9.41779899597168,9.442648069839679,123000
2000-07-26,9.442648887634277,9.442648887634277,9.343252583553918,9.392950735594097,220300
2000-07-27,9.542041778564453,9.542041778564453,9.44264551003774,9.44264551003774,410800
2000-07-28,9.492344856262207,9.54204299687091,9.442646715653504,9.54204299687091,791800
2000-07-31,9.492344856262207,9.54204299687091,9.467495785957855,9.492344856262207,225600
2000-08-01,9.542041778564453,9.542041778564453,9.492343644301098,9.517192711432775,320800
2000-08-02,9.542041778564453,9.616588979959488,9.517192711432775,9.542041778564453,361100
2000-08-03,9.542041778564453,9.542041778564453,9.492343644301098,9.517192711432775,168200
2000-08-04,9.492344856262207,9.54204299687091,9.442646715653504,9.54204299687091,183100
2000-08-07,9.467499732971191,9.517197894299123,9.442650652307226,9.517197894299123,165600
2000-08-08,9.492344856262207,9.517193926566557,9.442646715653504,9.442646715653504,47900
2000-08-09,9.467499732971191,9.517197894299123,9.442650652307226,9.492348813635157,101700
2000-08-10,9.542041778564453,9.542041778564453,9.492343644301098,9.492343644301098,147300
2000-08-11,9.591742515563965,9.616591589438483,9.51719529394041,9.54204436781493,88100
2000-08-14,9.641438484191895,9.641438484191895,9.566891279417215,9.591740347675442,154100
2000-08-15,9.641438484191895,9.666287552450122,9.591740347675442,9.641438484191895,242000
2000-08-16,9.691137313842773,9.691137313842773,9.591741033700798,9.66628824380728,353600
2000-08-17,9.666285514831543,9.691134577851676,9.64143645181141,9.691134577851676,164100
2000-08-18,9.641438484191895,9.666287552450122,9.616589415933667,9.616589415933667,87000
2000-08-21,9.666285514831543,9.715983640871809,9.64143645181141,9.666285514831543,154900
